Designator,Value,Footprint,Populate,MPN,Manufacturer
BLUE_LED,L08R5000Q1,LEDRD254W57D500H1070,1,L08R5000Q1,LED Technology
C1,0.1ÂµF,C0603,1,0603B104K500CT,Walsin Technologies
C4,10ÂµF,C0603,1,TMCJ0G106MTRF,Vishay
COLOUR_BUTTON,PUSH_BUTTON,BUTTON_12.5MM,1,TINKERKIT PUSHBUTTON,Arduino
COLOUR_HEADER,22-23-2041,22-23-2041,1,22-23-2041,Molex
GREEN_LED,L08R5000Q1,LEDRD254W57D500H1070,1,L08R5000Q1,LED Technology
MGT1,MOUNTING_HOLE,MOUNTING_HOLE,1,HIF3-SPACERFORMOUNTINGHOLE,HIROSE ELECTRIC
MGT2,MOUNTING_HOLE,MOUNTING_HOLE,1,HIF3-SPACERFORMOUNTINGHOLE,HIROSE ELECTRIC
MGT3,MOUNTING_HOLE,MOUNTING_HOLE,1,HIF3-SPACERFORMOUNTINGHOLE,HIROSE ELECTRIC
MGT4,MOUNTING_HOLE,MOUNTING_HOLE,1,HIF3-SPACERFORMOUNTINGHOLE,HIROSE ELECTRIC
POT_HEADER,22-23-2021,22-23-2021,1,22-23-2021,Molex
R1,100Î©,R0805,1,CF14JT100R,Stackpole Electronics
R2,POTENTIOMETER,POT-PO90S,1,MF-RES-TC33X-10K,MacroFab
R3,330Î©,R0805,1,RMEF0805JT330R,Stackpole Electronics
R4,330Î©,R0805,1,RMEF0805JT330R,Stackpole Electronics
R5,330Î©,R0805,1,RMEF0805JT330R,Stackpole Electronics
R6,10kÎ©,R0805,1,RNCF0805FTD10K0,Stackpole Electronics
R7,10kÎ©,R0805,1,RNCF0805FTD10K0,Stackpole Electronics
R8,100Î©,R0805,1,RNCP0805FTD1K00,Stackpole Electronics
RED_LED,L08R5000Q1,LEDRD254W57D500H1070,1,L08R5000Q1,LED Technology
RESET_BUTTON,PUSH_BUTTON,BUTTON_12.5MM,1,TINKERKIT PUSHBUTTON,Arduino
RESET_PWR_HEADER,22-23-2031,22-23-2031,1,22-23-2031,Molex
SPI_HEADER,22-23-2081,22-23-2081,1,22-23-2081,Molex
U$1,ADAFRUIT_2P8_TFT_HEADER,ADAFRUIT_2P8_TFT_HEADER,1,2770,Adafruit Industries
U1,POCKETBEAGLE,POCKETBEAGLE,1,POCKETBEAGLE,BeagleBoard
USB_A_PORT,1050570001,CONN_1050570001_MOL,1,105057-0001,Molex
